code,value
AK,23
AL,20
AR,22
AZ,34
CA,124
CO,33
CT,17
DE,11
FL,32
GA,18
HI,20
IA,21
ID,10
IL,20
IN,18
KS,30
KY,21
LA,21
MA,24
MD,12
ME,26
MI,5
MN,19
MO,30
MS,19
MT,26
NC,19
ND,24
NE,27
NH,26
NJ,22
NM,41
NV,38
NY,35
OH,19
OK,104
OR,23
PA,19
RI,11
SC,8
SD,30
TN,20
TX,138
UT,20
VA,22
VT,17
WA,35
WI,10
WV,23
WY,10
