date,major,emergency,fire ,,,
2003,56,19,48,,,
2004,68,7,43,,,
2005,48,68,39,,,
2006,52,5,86,,,
2007,63,13,60,,,
2008,75,17,51,,,
2009,63,7,49,,,
2010,52,9,18,,,
2011,48,29,114,,,
2012,68,16,49,,,
2013,56,5,28,,,
